linea,tension,se_inicial,se_final,volt_nom,conductor,i_nominal,empresa,longpropia,anotacion,depto,cod_dep,objectid_1
BUCARAMANGA - LOS PALOS 1 230 kV,230 kV,BUCA,PLS,230,DRAKE 795,810,ESSA,18 Km, ,SANTANDER,68,1
NOROESTE - TORCA 1 230 kV,230 kV,NOR,TORC,230, ,1300,ISA,19.5 Km, ,CUNDINAMARCA,11,2
LA ENEA - ESMERALDA 1 230 kV,230 kV,ENEA,ESMR,230, ,900,ISA,32.995 Km, ,CALDAS,17,3
JUANCHITO (220 kV) - SAN MARCOS (VALLE) 1 230 kV,230 kV,JUTO,SMRC,230, ,950,ISA,21.45 Km, ,VALLE DEL CAUCA,76,4
ORIENTE - PLAYAS 1 220 kV,220 kV,ORIE,PLAY,220,ACSR 1113BJ,777,EEPPM,54.75 Km, ,ANTIOQUIA,5,5
GUADALUPE IV - EL SALTO 1,220 kV,GUAD,SLTO,220,ACSR 1113BJ,777,EEPPM,8.8 Km, ,ANTIOQUIA,5,6
PARAISO - SAN MATEO EEB 1 230 kV,230 kV,PARA,SUR,230,AAAC 1600,960,EEB,33.96 Km, ,CUNDINAMARCA,11,7
GUAVIO - TUNAL 1 230 kV,230 kV,GUV,TUNA,230,ACSR RAIL,630,EEB,155.1216 K, ,CUNDINAMARCA,11,8
SAN MATEO (BOGOTA) - TUNAL 1 230 kV,230 kV,SUR,TUNA,230,AAAC 1600,960,EEB,14.89 Km, ,CUNDINAMARCA,11,9
LA GUACA - PARAISO 1 230 kV,230 kV,GUAC,PARA,230,AAAC 1600,960,EEB,7.5 Km, ,CUNDINAMARCA,25,10
SABANALARGA  - TERNERA 1 220 kV,220 kV,SAB,TERN,220,AAAC 927.2,630,TRANSELCA,80.183 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,11
CUESTECITAS - CUATRICENTENARIO 1,220 kV,CUES,CTRI,220,ACAR 1000,691, , , ,GUAJIRA,44,12
SAN CARLOS  - ESMERALDA 1 230 kV,230 kV,ESMR,SAC,230, ,900,ISA,193.73 Km, ,ANTIOQUIA,5,13
TUNAL - LA REFORMA 1,220 kV,TUNA,VIV,220, ,810, , , ,CUNDINAMARCA,11,14
OCANA - LOS PALOS 1 230 kV,230 kV,OCA,PLS,230, ,570,ISA,160.53 Km, ,NORTE DE SANTANDER,54,15
ESMERALDA  - LA HERMOSA 1,230 kV,ESMR,HERM,230, ,1046,ISA,24.5 Km, ,CALDAS,17,16
LA ENEA - SAN FELIPE 1 230 kV,230 kV,ENEA,MARI,230, ,900,ISA,67.415 Km, ,CALDAS,17,17
SAN FELIPE - LA MESA 1 230 kV,230 kV,MESA,MARI,230, ,900,ISA,78.82 Km, ,CUNDINAMARCA,25,18
GUATAPE - MIRAFLORES 1 220 kV,220 kV,GTPE,MIRF,220,ACSR 1113BJ,777,EEPPM,51.33 Km, ,ANTIOQUIA,5,19
ANCON SUR (EPM) - MIRAFLORES 1 220 kV,220 kV,ANCE,MIRF,220, ,777,EEPPM,20 Km, ,ANTIOQUIA,5,20
ENVIGADO - ORIENTE 1,220 kV,ENVG,ORIE,220,ACSR 1113F,777,EEPPM,26.77 Km, ,ANTIOQUIA,5,21
CIRCO - GUAVIO 1,220 kV,CIRC,GUV,220,ACSR RAIL,710,EEB, , ,CUNDINAMARCA,11,22
GUAVIO - LA REFORMA 1 230 kV,230 kV,GUV,VIV,230,ACSR RAIL,990,ISA,80.4 Km, ,CUNDINAMARCA,25,23
GUAVIO - TORCA 1 230 kV,230 kV,GUV,TORC,230, ,960,ISA,84 Km, ,CUNDINAMARCA,11,24
GUAVIO - CHIVOR 1 230 kV,230 kV,CHIV,GUV,230,FINCH,960,ISA,22 Km, ,BOYACA,15,25
YUMBO - SAN MARCOS 1 230 kV,230 kV,SMRC,YUMB,230,ACSR 1033,900,ISA,6.15 Km, ,VALLE DEL CAUCA,76,26
PANCE - YUMBO 1 230 kV,230 kV,PANC,YUMB,230,ACSR 1033,842,EPSA,26.7 Km, ,VALLE DEL CAUCA,76,27
PANCE - SALVAJINA 1,230 kV,PANC,SLVJ,230,AASC 1200,842,EPSA,49.2 Km, ,CAUCA,19,28
ALTO ANCHICAYA - PANCE 1 230 kV,230 kV,ALAN,PANC,230,ACSR 1033,842,EPSA,53.7 Km,Longitud confirmada en 22/10/02 -,VALLE DEL CAUCA,76,29
GUATAPE - SAN CARLOS 1,220 kV,GTPE,SAC,220, ,810, , , ,ANTIOQUIA,5,30
BARRANCA - SOGAMOSO,230 kV,BARN,SOGA,230, ,810,ESSA-ISA, , ,SANTANDER,68,31
ENVIGADO - OCCIDENTE 1,220 kV,ENVG,OCCI,220,ACSR 1351,805,EEPPM,29.1 Km, ,ANTIOQUIA,5,32
ENVIGADO - GUATAPE 1,220 kV,ENVG,GTPE,220,ACSR 1113F,777,EEPPM,63.2 Km, ,ANTIOQUIA,5,33
BARBOSA (ANTIOQUIA) - GUATAPE 1 220 kV,220 kV,BARB,GTPE,220,ACSR 1113BJ,777,EEPPM,35.53 Km, ,ANTIOQUIA,5,34
JUANCHITO - PANCE 1 230 kV,230 kV,JUTO,PANC,230,AASC 1200,842,EPSA,22.9 Km, ,VALLE DEL CAUCA,76,35
EL COPEY - VALLEDUPAR 1 220 kV,220 kV,COPE,VDUP,220,AAAC 927.2,630,TRANSELCA,90.8 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,CESAR,20,36
NUEVA BARRANQUILLA - SABANALARGA 3 220 kV,220 kV,NBQU,SAB,220,AAAC 927.2,787,TRANSELCA,43.342 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,37
